| Interactions | ng | ns | nn | ll | sb | ss | tb | bb | gg | sg |
| tanbeta = 10, m0 = 60 m12 = 240 | 0.106479  pm 0.00818087 | 0.25238 pm 0.0509469 | 0.955217 pm 0.0586392 | 0.203895 pm 0.0102397 | 0.973432 pm 0.14686 | 1.83114 pm 0.1804 | 0.2486 pm 0.0533715 | 0.081 pm 0.0210164 | 0.567 pm 0.123877 | 3.07 pm 0.314431 | 
| tanbeta = 10, m0 = 60 m12 = 260 | 0.0698966  pm 0.00536198 | 0.168161 pm 0.0348303 | 0.64347 pm 0.0381726 | 0.154257 pm 0.00791862 | 0.600897 pm 0.0913094 | 1.25311 pm 0.125632 | 0.1506 pm 0.0339194 | 0.0489 pm 0.0133205 | 0.324 pm 0.0757625 | 1.89 pm 0.205423 | 
| tanbeta = 10, m0 = 60 m12 = 280 | 0.0467465  pm 0.00357981 | 0.114343 pm 0.0242611 | 0.447063 pm 0.0257227 | 0.118584 pm 0.0061858 | 0.375984 pm 0.0569015 | 0.865496 pm 0.0886994 | 0.09385 pm 0.022188 | 0.0302 pm 0.00867376 | 0.19 pm 0.0474338 | 1.19 pm 0.136155 | 
| tanbeta = 10, m0 = 60 m12 = 300 | 0.0317601  pm 0.00251039 | 0.0790891 pm 0.0171184 | 0.317886 pm 0.0180664 | 0.0922751 pm 0.00501638 | 0.239719 pm 0.0364168 | 0.606525 pm 0.0634815 | 0.05957 pm 0.014738 | 0.01892 pm 0.00576124 | 0.114 pm 0.03033 | 0.763 pm 0.0924072 | 
| tanbeta = 10, m0 = 60 m12 = 320 | 0.0218263  pm 0.00172142 | 0.0555198 pm 0.0123474 | 0.23077 pm 0.0128281 | 0.0724899 pm 0.00399867 | 0.156 pm 0.0239718 | 0.430326 pm 0.0461516 | 0.03856 pm 0.00999075 | 0.01213 pm 0.00386543 | 0.0695 pm 0.0196118 | 0.497 pm 0.0636038 | 
| tanbeta = 10, m0 = 60 m12 = 340 | 0.015177  pm 0.00120994 | 0.0394775 pm 0.00899838 | 0.17053 pm 0.00936516 | 0.0576215 pm 0.00326253 | 0.103 pm 0.016285 | 0.307994 pm 0.0338056 | 0.02545 pm 0.00691141 | 0.00789 pm 0.0026396 | 0.0429139 pm 0.0129435 | 0.328 pm 0.0442702 | 
| tanbeta = 10, m0 = 60 m12 = 360 | 0.0106578  pm 0.000841206 | 0.0283983 pm 0.00659872 | 0.127829 pm 0.00689271 | 0.0462206 pm 0.00265046 | 0.0687 pm 0.0112696 | 0.223137 pm 0.0253732 | 0.01695 pm 0.00481058 | 0.00519 pm 0.00182444 | 0.0269633 pm 0.00871914 | 0.218884 pm 0.0314253 | 
| tanbeta = 10, m0 = 80 m12 = 100 | 5.03015  pm 0.300104 | 10.3296 pm 1.6853 | 207.603 pm 22.0028 | 1.56672 pm 0.0620967 | 76.5776 pm 11.985 | 61.1888 pm 7.03564 | 18.3367 pm 3.3635 | 7.9 pm 1.33874 | 99.4237 pm 13.6496 | 261.756 pm 28.5189 | 
| tanbeta = 10, m0 = 80 m12 = 120 | 2.45619  pm 0.150289 | 5.23502 pm 0.913533 | 50.3935 pm 4.7399 | 1.05795 pm 0.0437823 | 34.2059 pm 5.31569 | 31.4395 pm 3.40533 | 9.26581 pm 1.71657 | 3.44 pm 0.621675 | 38.5532 pm 5.59453 | 116.206 pm 11.972 | 
| tanbeta = 10, m0 = 80 m12 = 140 | 1.29459  pm 0.0836653 | 2.82646 pm 0.507047 | 17.1175 pm 1.39999 | 0.733396 pm 0.0323968 | 16.3747 pm 2.47398 | 17.5222 pm 1.79071 | 4.68396 pm 0.878586 | 1.612 pm 0.31097 | 16.2378 pm 2.41832 | 55.6123 pm 5.59978 | 
