| Interactions | ng | ns | nn | ll | sb | ss | tb | bb | gg | sg |
| tanbeta = 10, m0 = 340 m12 = 400 | 0.00452078  pm 0.000351563 | 0.0101276 pm 0.00253863 | 0.0769723 pm 0.00405517 | 0.00208654 pm 0.000142515 | 0.0174292 pm 0.00336564 | 0.0754423 pm 0.00949384 | 0.005364 pm 0.00173656 | 0.001362 pm 0.000557996 | 0.00971558 pm 0.00369872 | 0.0734448 pm 0.013277 | 
| tanbeta = 10, m0 = 340 m12 = 420 | 0.00328539  pm 0.00025393 | 0.00768484 pm 0.00195583 | 0.0595497 pm 0.00310475 | 0.00188614 pm 0.000128875 | 0.0122946 pm 0.0025237 | 0.0565698 pm 0.0072381 | 0.00382 pm 0.00128867 | 0.000955 pm 0.00040903 | 0.00631175 pm 0.00255672 | 0.0510586 pm 0.00993943 | 
| tanbeta = 10, m0 = 340 m12 = 440 | 0.00240055  pm 0.000181072 | 0.00585503 pm 0.00152851 | 0.0464636 pm 0.00240277 | 0.00170204 pm 0.000116277 | 0.00864678 pm 0.00188304 | 0.042556 pm 0.00554753 | 0.002734 pm 0.000961097 | 0.000672 pm 0.00029985 | 0.00415224 pm 0.00177818 | 0.0357152 pm 0.00736267 | 
| tanbeta = 10, m0 = 340 m12 = 460 | 0.00176154  pm 0.000129633 | 0.00447851 pm 0.00118831 | 0.0365112 pm 0.00187904 | 0.00153365 pm 0.000104072 | 0.00614408 pm 0.00141274 | 0.0322307 pm 0.00424323 | 0.001972 pm 0.000721053 | 0.000476 pm 0.000221654 | 0.00275241 pm 0.0012505 | 0.0251694 pm 0.00547697 | 
| tanbeta = 10, m0 = 340 m12 = 480 | 0.00129937  pm 9.39464e-05 | 0.00345147 pm 0.000937979 | 0.0289367 pm 0.00147809 | 0.00138159 pm 9.39955e-05 | 0.00435317 pm 0.00106246 | 0.0243162 pm 0.00328125 | 0.001323 pm 0.000524256 | 0.000338 pm 0.000164799 | 0.00184299 pm 0.000881886 | 0.0177628 pm 0.00410028 | 
| tanbeta = 10, m0 = 340 m12 = 500 | 0.00096204  pm 6.67451e-05 | 0.00266505 pm 0.000736452 | 0.0230554 pm 0.00116817 | 0.00124308 pm 8.46748e-05 | 0.0030904 pm 0.000793379 | 0.0183066 pm 0.00253434 | 0.000963 pm 0.000396503 | 0.0002415 pm 0.000122283 | 0.00123063 pm 0.000616891 | 0.012593 pm 0.00314863 | 
| tanbeta = 10, m0 = 340 m12 = 520 | 0.000716376  pm 4.98062e-05 | 0.00206747 pm 0.000581119 | 0.0185214 pm 0.000942632 | 0.00111827 pm 7.63516e-05 | 0.00221791 pm 0.000604751 | 0.0138906 pm 0.00195965 | 0.0007037 pm 0.000300308 | 0.0001731 pm 9.11251e-05 | 0.000829122 pm 0.000436838 | 0.00897295 pm 0.00237269 | 
| tanbeta = 10, m0 = 340 m12 = 540 | 0.000535693  pm 3.63288e-05 | 0.00160843 pm 0.000458332 | 0.0149299 pm 0.000757813 | 0.00100519 pm 6.78246e-05 | 0.00158711 pm 0.000460302 | 0.0105301 pm 0.00153465 | 0.0005153 pm 0.000228246 | 0.0001243 pm 6.81338e-05 | 0.000561119 pm 0.000309803 | 0.00638678 pm 0.00179197 | 
| tanbeta = 10, m0 = 340 m12 = 560 | 0.000401594  pm 2.75515e-05 | 0.00125553 pm 0.000362876 | 0.0121016 pm 0.000613146 | 0.00090446 pm 6.23663e-05 | 0.00112949 pm 0.000344094 | 0.00797433 pm 0.00116416 | 0.0003795 pm 0.000174254 | 8.95e-05 pm 5.10648e-05 | 0.000380306 pm 0.000219351 | 0.00455122 pm 0.00135018 | 
| tanbeta = 10, m0 = 340 m12 = 580 | 0.000302388  pm 2.00364e-05 | 0.000983762 pm 0.000288316 | 0.00985248 pm 0.000500616 | 0.000812949 pm 5.55362e-05 | 0.000811403 pm 0.000262292 | 0.00604014 pm 0.000904758 | 0.0002808 pm 0.000133892 | 6.47e-05 pm 3.83901e-05 | 0.000261758 pm 0.000157113 | 0.00326811 pm 0.0010184 | 
| tanbeta = 10, m0 = 340 m12 = 600 | 0.000227574  pm 1.60769e-05 | 0.000772815 pm 0.000229904 | 0.00804024 pm 0.00040714 | 0.000730461 pm 4.96443e-05 | 0.000586784 pm 0.000200428 | 0.00460565 pm 0.000700068 | 0.0002081 pm 0.000102838 | 4.68e-05 pm 2.90209e-05 | 0.000179083 pm 0.000111707 | 0.00235062 pm 0.000774445 | 
| tanbeta = 10, m0 = 340 m12 = 620 | 0.000171446  pm 1.26838e-05 | 0.000608206 pm 0.000182456 | 0.00660942 pm 0.000336377 | 0.000657167 pm 4.48937e-05 | 0.00042057 pm 0.00015135 | 0.00348226 pm 0.000539482 | 0.0001554 pm 7.95115e-05 | 3.4e-05 pm 2.18604e-05 | 0.000123283 pm 7.9739e-05 | 0.00169127 pm 0.000582923 | 
| tanbeta = 10, m0 = 340 m12 = 640 | 0.000129398  pm 9.96885e-06 | 0.000480643 pm 0.000146878 | 0.00543284 pm 0.000276035 | 0.000591605 pm 4.06188e-05 | 0.00030217 pm 0.000114734 | 0.00263175 pm 0.00041733 | 0.0001153 pm 6.10832e-05 | 2.471e-05 pm 1.65489e-05 | 8.44471e-05 pm 5.64702e-05 | 0.0012125 pm 0.000440625 | 
| tanbeta = 10, m0 = 340 m12 = 660 | 9.77929e-05  pm 7.96563e-06 | 0.000380461 pm 0.000117556 | 0.00448488 pm 0.000227231 | 0.000532201 pm 3.62398e-05 | 0.000218661 pm 8.76423e-05 | 0.00200644 pm 0.000325649 | 8.671e-05 pm 4.7493e-05 | 1.802e-05 pm 1.25294e-05 | 5.8319e-05 pm 4.02341e-05 | 0.000874543 pm 0.000332252 | 
| tanbeta = 10, m0 = 340 m12 = 680 | 7.41163e-05  pm 6.32885e-06 | 0.000301505 pm 9.43736e-05 | 0.00371099 pm 0.000188235 | 0.00047897 pm 3.24615e-05 | 0.000156725 pm 6.60259e-05 | 0.00151202 pm 0.000249836 | 6.511e-05 pm 3.7001e-05 | 1.31e-05 pm 9.46472e-06 | 3.99483e-05 pm 2.84359e-05 | 0.00062687 pm 0.000248857 | 
| tanbeta = 10, m0 = 340 m12 = 700 | 5.62078e-05  pm 5.07709e-06 | 0.000239636 pm 7.60186e-05 | 0.00308199 pm 0.000156849 | 0.000431604 pm 2.93636e-05 | 0.000113905 pm 5.04761e-05 | 0.00114857 pm 0.000197568 | 4.899e-05 pm 2.88262e-05 | 9.55e-06 pm 7.17903e-06 | 2.77301e-05 pm 2.03147e-05 | 0.000453275 pm 0.000188328 | 
| tanbeta = 10, m0 = 340 m12 = 720 | 4.27681e-05  pm 4.03041e-06 | 0.000190848 pm 6.12418e-05 | 0.0025666 pm 0.000131441 | 0.000388697 pm 2.63805e-05 | 8.19234e-05 pm 3.80601e-05 | 0.000865995 pm 0.000151741 | 3.69e-05 pm 2.24644e-05 | 6.98e-06 pm 5.4444e-06 | 1.92444e-05 pm 1.44751e-05 | 0.000326079 pm 0.000140806 | 
| tanbeta = 10, m0 = 340 m12 = 740 | 3.25661e-05  pm 3.26782e-06 | 0.000152108 pm 4.95864e-05 | 0.00213993 pm 0.000108988 | 0.000350612 pm 2.37689e-05 | 5.93296e-05 pm 2.87847e-05 | 0.000655913 pm 0.000117598 | 2.783e-05 pm 1.7565e-05 | 5.09e-06 pm 4.12803e-06 | 1.33427e-05 pm 1.02937e-05 | 0.000235824 pm 0.000106665 | 
| tanbeta = 10, m0 = 340 m12 = 760 | 2.47474e-05  pm 2.56885e-06 | 0.000121565 pm 4.012e-05 | 0.00178838 pm 9.10851e-05 | 0.000316199 pm 2.14803e-05 | 4.26604e-05 pm 2.16672e-05 | 0.000492117 pm 9.06394e-05 | 2.109e-05 pm 1.37417e-05 | 3.72e-06 pm 3.13651e-06 | 9.10875e-06 pm 7.18746e-06 | 0.000168999 pm 7.93698e-05 | 
| tanbeta = 10, m0 = 340 m12 = 780 | 1.88649e-05  pm 2.10285e-06 | 9.73153e-05 pm 3.25116e-05 | 0.00149814 pm 7.65387e-05 | 0.000285536 pm 1.9313e-05 | 3.09135e-05 pm 1.63673e-05 | 0.000372234 pm 7.02628e-05 | 1.601e-05 pm 1.07561e-05 | 2.715e-06 pm 2.36946e-06 | 6.29175e-06 pm 5.07203e-06 | 0.00012165 pm 5.95054e-05 | 
| tanbeta = 10, m0 = 340 m12 = 800 | 1.43516e-05  pm 1.69051e-06 | 7.79682e-05 pm 2.6431e-05 | 0.00125767 pm 6.4262e-05 | 0.000257969 pm 1.73687e-05 | 2.21872e-05 pm 1.22573e-05 | 0.00027762 pm 5.39364e-05 | 1.2168e-05 pm 8.47106e-06 | 1.988e-06 pm 1.80446e-06 | 4.34263e-06 pm 3.57378e-06 | 8.6883e-05 pm 4.39546e-05 | 
| tanbeta = 10, m0 = 340 m12 = 820 | 1.08108e-05  pm 1.34524e-06 | 6.24489e-05 pm 2.15303e-05 | 0.00105675 pm 5.41713e-05 | 0.000233065 pm 1.57294e-05 | 1.59901e-05 pm 9.18906e-06 | 0.000208353 pm 4.14715e-05 | 9.203e-06 pm 6.63613e-06 | 1.454e-06 pm 1.37e-06 | 2.97e-06 pm 2.52193e-06 | 6.23348e-05 pm 3.26365e-05 | 
| tanbeta = 10, m0 = 340 m12 = 840 | 8.56108e-06  pm 1.17196e-06 | 5.02138e-05 pm 1.75376e-05 | 0.000890431 pm 4.58503e-05 | 0.000211133 pm 1.4239e-05 | 1.1559e-05 pm 6.91287e-06 | 0.000156363 pm 3.20639e-05 | 7.005e-06 pm 5.21454e-06 | 1.064e-06 pm 1.03951e-06 | 2.02e-06 pm 1.77487e-06 | 4.46533e-05 pm 2.4157e-05 | 
| tanbeta = 10, m0 = 340 m12 = 860 | 6.56756e-06  pm 9.47857e-07 | 4.04166e-05 pm 1.42743e-05 | 0.000751421 pm 3.87331e-05 | 0.000190962 pm 1.28883e-05 | 8.26143e-06 pm 5.13483e-06 | 0.000116471 pm 2.41002e-05 | 5.326e-06 pm 4.09727e-06 | 7.77e-07 pm 7.88824e-07 | 1.38e-06 pm 1.25376e-06 | 3.18425e-05 pm 1.78012e-05 | 
| tanbeta = 10, m0 = 340 m12 = 880 | 5.04189e-06  pm 7.76288e-07 | 3.24887e-05 pm 1.16994e-05 | 0.000634853 pm 3.3087e-05 | 0.000173052 pm 1.16134e-05 | 5.9494e-06 pm 3.8334e-06 | 8.70383e-05 pm 1.87194e-05 | 4.054e-06 pm 3.2219e-06 | 5.68e-07 pm 5.96178e-07 | 9.34e-07 pm 8.77807e-07 | 2.26748e-05 pm 1.30392e-05 | 
| tanbeta = 10, m0 = 340 m12 = 900 | 3.87125e-06  pm 6.30713e-07 | 2.61666e-05 pm 9.53544e-06 | 0.000536795 pm 2.79007e-05 | 0.000156925 pm 1.06176e-05 | 4.28122e-06 pm 2.85403e-06 | 6.46267e-05 pm 1.42738e-05 | 3.089e-06 pm 2.53825e-06 | 4.15e-07 pm 4.51841e-07 | 6.28e-07 pm 6.08629e-07 | 1.61064e-05 pm 9.58825e-06 | 
| tanbeta = 10, m0 = 340 m12 = 920 | 2.97966e-06  pm 5.11325e-07 | 2.11109e-05 pm 7.80866e-06 | 0.000454293 pm 2.35576e-05 | 0.000142443 pm 9.63801e-06 | 3.02e-06 pm 2.46482e-06 | 4.4444e-05 pm 1.35089e-05 | 2.353e-06 pm 1.99511e-06 | 3.02e-07 pm 3.41472e-07 | 2.91e-07 pm 4.72188e-07 | 1.02e-05 pm 7.3952e-06 | 
| tanbeta = 10, m0 = 340 m12 = 940 | 2.29275e-06  pm 4.15642e-07 | 1.7033e-05 pm 6.38708e-06 | 0.000385754 pm 2.03849e-05 | 0.000129383 pm 8.70348e-06 | 2.16e-06 pm 1.81947e-06 | 3.28812e-05 pm 1.02141e-05 | 1.792e-06 pm 1.57154e-06 | 2.199e-07 pm 2.56949e-07 | 1.92e-07 pm 3.22329e-07 | 7.19e-06 pm 5.34473e-06 | 
| tanbeta = 10, m0 = 340 m12 = 960 | 1.76434e-06  pm 3.34726e-07 | 1.37606e-05 pm 5.23368e-06 | 0.000327163 pm 1.69485e-05 | 0.000117612 pm 7.99412e-06 | 1.54e-06 pm 1.33795e-06 | 2.41958e-05 pm 7.72299e-06 | 1.3719e-06 pm 1.2356e-06 | 1.596e-07 pm 1.9331e-07 | 1.26e-07 pm 2.18278e-07 | 5.03e-06 pm 3.84763e-06 | 
| tanbeta = 10, m0 = 340 m12 = 980 | 1.35704e-06  pm 2.72138e-07 | 1.11184e-05 pm 4.28681e-06 | 0.000277503 pm 1.42599e-05 | 0.000106908 pm 7.18173e-06 | 1.1e-06 pm 9.8267e-07 | 1.77571e-05 pm 5.78881e-06 | 1.0468e-06 pm 9.76598e-07 | 1.162e-07 pm 1.45048e-07 | 8.23e-08 pm 1.46521e-07 | 3.5e-06 pm 2.75325e-06 | 
| tanbeta = 10, m0 = 340 m12 = 1000 | 1.04545e-06  pm 2.20248e-07 | 8.98479e-06 pm 3.51457e-06 | 0.000236813 pm 1.21913e-05 | 9.73411e-05 pm 6.54698e-06 | 7.77e-07 pm 7.18429e-07 | 1.30156e-05 pm 4.37659e-06 | 7.996e-07 pm 7.66298e-07 | 8.42e-08 pm 1.08722e-07 | 5.32e-08 pm 9.78968e-08 | 2.43e-06 pm 1.95895e-06 | 
| tanbeta = 10, m0 = 360 m12 = 100 | 1.9643  pm 0.153616 | 1.13158 pm 0.212266 | 118.913 pm 11.7659 | 0.00496941 pm 0.000338801 | 4.55679 pm 0.663861 | 7.91 pm 0.951428 | 1.84517 pm 0.343755 | 0.507 pm 0.0985488 | 83.6099 pm 13.795 | 69.398 pm 9.09151 | 
| tanbeta = 10, m0 = 360 m12 = 120 | 1.141  pm 0.0873134 | 0.817499 pm 0.156025 | 41.9657 pm 3.74949 | 0.00477795 pm 0.000324499 | 3.18638 pm 0.469156 | 5.73 pm 0.682138 | 1.26504 pm 0.236695 | 0.3358 pm 0.0693616 | 31.3334 pm 5.08067 | 37.3184 pm 4.66503 | 
| tanbeta = 10, m0 = 360 m12 = 140 | 0.685921  pm 0.0542082 | 0.58288 pm 0.111988 | 16.4786 pm 1.29914 | 0.00457306 pm 0.000306044 | 2.17225 pm 0.319273 | 4.1 pm 0.474737 | 0.840179 pm 0.161699 | 0.2195 pm 0.0486324 | 13.2 pm 2.12862 | 20.7974 pm 2.47682 | 
| tanbeta = 10, m0 = 360 m12 = 160 | 0.41393  pm 0.0281421 | 0.41308 pm 0.0807309 | 7.92799 pm 0.579276 | 0.00434172 pm 0.000293145 | 1.45982 pm 0.214588 | 2.92 pm 0.33094 | 0.550061 pm 0.10825 | 0.1431 pm 0.0335797 | 6.09 pm 1.05227 | 12.0177 pm 1.38282 | 
| tanbeta = 10, m0 = 360 m12 = 180 | 0.269468  pm 0.022146 | 0.292643 pm 0.058405 | 4.29712 pm 0.291294 | 0.00410582 pm 0.000278257 | 0.988937 pm 0.149926 | 2.08092 pm 0.234534 | 0.3602 pm 0.0737881 | 0.0936 pm 0.0232184 | 2.99 pm 0.552471 | 7.07987 pm 0.787028 | 
| tanbeta = 10, m0 = 360 m12 = 200 | 0.174323  pm 0.0146167 | 0.207991 pm 0.0425242 | 2.51392 pm 0.163294 | 0.00385781 pm 0.000260426 | 0.660661 pm 0.0983389 | 1.49253 pm 0.167932 | 0.2354 pm 0.0504016 | 0.0619 pm 0.0163462 | 1.55 pm 0.308379 | 4.31 pm 0.475345 | 
| tanbeta = 10, m0 = 360 m12 = 220 | 0.114912  pm 0.0095926 | 0.148581 pm 0.031079 | 1.56393 pm 0.0973473 | 0.00361158 pm 0.000245709 | 0.447139 pm 0.0672228 | 1.08333 pm 0.12165 | 0.1553 pm 0.0345968 | 0.0406 pm 0.0112606 | 0.837 pm 0.178129 | 2.69 pm 0.305923 | 
| tanbeta = 10, m0 = 360 m12 = 240 | 0.0768899  pm 0.00643384 | 0.106745 pm 0.0227923 | 1.01567 pm 0.06161 | 0.00336223 pm 0.000228968 | 0.302801 pm 0.0460636 | 0.785708 pm 0.0889761 | 0.10228 pm 0.0238346 | 0.02684 pm 0.00781091 | 0.469 pm 0.10663 | 1.71 pm 0.201088 | 
| tanbeta = 10, m0 = 360 m12 = 260 | 0.0520364  pm 0.00451727 | 0.0772371 pm 0.0167515 | 0.682858 pm 0.0401082 | 0.00311784 pm 0.000211488 | 0.205 pm 0.0308752 | 0.573635 pm 0.0654265 | 0.06822 pm 0.0165721 | 0.01789 pm 0.00546774 | 0.271 pm 0.0657782 | 1.1 pm 0.134371 | 
| tanbeta = 10, m0 = 360 m12 = 280 | 0.034703  pm 0.00241187 | 0.0563123 pm 0.0124983 | 0.473328 pm 0.0271375 | 0.00288182 pm 0.000195494 | 0.141 pm 0.0221486 | 0.420349 pm 0.048462 | 0.04596 pm 0.0116524 | 0.01206 pm 0.00385158 | 0.16 pm 0.0413213 | 0.722 pm 0.0921132 | 
| tanbeta = 10, m0 = 360 m12 = 300 | 0.0245682  pm 0.00204293 | 0.0412601 pm 0.00935293 | 0.334777 pm 0.0187662 | 0.00265383 pm 0.00017927 | 0.096 pm 0.0154016 | 0.307442 pm 0.0355137 | 0.03115 pm 0.00825173 | 0.00816 pm 0.00272507 | 0.0967 pm 0.026519 | 0.477 pm 0.0638039 | 
| tanbeta = 10, m0 = 360 m12 = 320 | 0.0170144  pm 0.00138233 | 0.0304952 pm 0.00707279 | 0.242987 pm 0.0135956 | 0.00243594 pm 0.000166135 | 0.0674 pm 0.0111864 | 0.229626 pm 0.0270914 | 0.0213 pm 0.00588786 | 0.00556 pm 0.00193911 | 0.0594 pm 0.0172414 | 0.322 pm 0.0449782 | 
| tanbeta = 10, m0 = 360 m12 = 340 | 0.0120136  pm 0.000974365 | 0.0226819 pm 0.00535926 | 0.178725 pm 0.00971536 | 0.0022299 pm 0.000150833 | 0.0471 pm 0.00809128 | 0.170708 pm 0.0207866 | 0.01474 pm 0.0042476 | 0.00381 pm 0.00138824 | 0.0369873 pm 0.0115045 | 0.217766 pm 0.0321474 | 
| tanbeta = 10, m0 = 360 m12 = 360 | 0.00854168  pm 0.0006787 | 0.0169753 pm 0.00409104 | 0.133604 pm 0.00718757 | 0.00203699 pm 0.000139649 | 0.0329 pm 0.00581651 | 0.127201 pm 0.015636 | 0.01026 pm 0.00307859 | 0.002635 pm 0.00100311 | 0.0233175 pm 0.00780706 | 0.148319 pm 0.0234755 | 
| tanbeta = 10, m0 = 360 m12 = 380 | 0.00614105  pm 0.000486915 | 0.0127777 pm 0.00315211 | 0.10115 pm 0.00539096 | 0.00185466 pm 0.00012775 | 0.0231645 pm 0.00428767 | 0.0953147 pm 0.0118849 | 0.007238 pm 0.0022627 | 0.001831 pm 0.000727015 | 0.0148984 pm 0.00535468 | 0.102185 pm 0.0173674 | 
| tanbeta = 10, m0 = 360 m12 = 400 | 0.00444247  pm 0.000346256 | 0.00966116 pm 0.00241987 | 0.0773487 pm 0.00406623 | 0.00168765 pm 0.000115017 | 0.0162508 pm 0.0031402 | 0.0714344 pm 0.00900948 | 0.005128 pm 0.00166903 | 0.001279 pm 0.000528762 | 0.00959567 pm 0.00366109 | 0.0708132 pm 0.0129497 | 
| tanbeta = 10, m0 = 360 m12 = 420 | 0.00322722  pm 0.000250897 | 0.00735086 pm 0.00188531 | 0.0598303 pm 0.00312584 | 0.00153251 pm 0.000105148 | 0.0114786 pm 0.00240053 | 0.0537181 pm 0.00691543 | 0.003663 pm 0.0012419 | 0.000899 pm 0.000388381 | 0.00624236 pm 0.00253035 | 0.049357 pm 0.00969835 | 
| tanbeta = 10, m0 = 360 m12 = 440 | 0.0023606  pm 0.000177557 | 0.0056123 pm 0.00146348 | 0.04669 pm 0.00243221 | 0.00138947 pm 9.53499e-05 | 0.00810879 pm 0.00178615 | 0.0404995 pm 0.0052947 | 0.002631 pm 0.000929779 | 0.000635 pm 0.000285986 | 0.00412008 pm 0.00177062 | 0.0345904 pm 0.0072268 | 
| tanbeta = 10, m0 = 360 m12 = 460 | 0.00173334  pm 0.000127138 | 0.00431048 pm 0.00114507 | 0.0367309 pm 0.0018865 | 0.00125829 pm 8.59787e-05 | 0.00575534 pm 0.00134243 | 0.0306296 pm 0.00407749 | 0.001893 pm 0.00069626 | 0.000451 pm 0.000211353 | 0.00273099 pm 0.00124508 | 0.0243412 pm 0.00536645 | 
| tanbeta = 10, m0 = 360 m12 = 480 | 0.0012784  pm 9.15873e-05 | 0.00332145 pm 0.000901276 | 0.0290903 pm 0.00150142 | 0.00113719 pm 7.76718e-05 | 0.00411558 pm 0.0010137 | 0.0232618 pm 0.00313104 | 0.001277 pm 0.000508527 | 0.000321 pm 0.000156789 | 0.00182569 pm 0.000872503 | 0.0172461 pm 0.00403658 | 
| tanbeta = 10, m0 = 360 m12 = 500 | 0.00094788  pm 6.59158e-05 | 0.00257189 pm 0.000712905 | 0.0231897 pm 0.00118674 | 0.00102811 pm 7.03333e-05 | 0.00292564 pm 0.000765591 | 0.0175494 pm 0.00241275 | 0.0009312 pm 0.000385231 | 0.0002293 pm 0.000116991 | 0.00122024 pm 0.000613507 | 0.0122184 pm 0.00304694 | 
| tanbeta = 10, m0 = 360 m12 = 520 | 0.000706153  pm 4.92373e-05 | 0.00199795 pm 0.000563301 | 0.0185777 pm 0.000944125 | 0.000928492 pm 6.37698e-05 | 0.00210334 pm 0.000575841 | 0.0133341 pm 0.00185073 | 0.000681 pm 0.000292404 | 0.0001646 pm 8.74528e-05 | 0.00082119 pm 0.000433014 | 0.00872725 pm 0.00232283 | 
| tanbeta = 10, m0 = 360 m12 = 540 | 0.000528705  pm 3.61316e-05 | 0.001557 pm 0.000444306 | 0.0149774 pm 0.000760137 | 0.000838209 pm 5.7843e-05 | 0.00150236 pm 0.000435369 | 0.0100736 pm 0.00144077 | 0.0005004 pm 0.00022263 | 0.0001187 pm 6.54429e-05 | 0.000556377 pm 0.000307351 | 0.00621182 pm 0.00175296 | 
| tanbeta = 10, m0 = 360 m12 = 560 | 0.00039765  pm 2.6721e-05 | 0.00121773 pm 0.000352448 | 0.0121292 pm 0.000613092 | 0.000756051 pm 5.13381e-05 | 0.00108042 pm 0.000331605 | 0.0076884 pm 0.0011301 | 0.0003682 pm 0.000169921 | 8.57e-05 pm 4.9183e-05 | 0.000376276 pm 0.000217683 | 0.00444439 pm 0.0013231 | 
| tanbeta = 10, m0 = 360 m12 = 580 | 0.000298631  pm 2.01668e-05 | 0.000955073 pm 0.000279954 | 0.00987044 pm 0.000499014 | 0.000681974 pm 4.6138e-05 | 0.000775927 pm 0.000253268 | 0.00582436 pm 0.000877265 | 0.0002729 pm 0.000130753 | 6.2e-05 pm 3.70265e-05 | 0.000258786 pm 0.000155637 | 0.00318889 pm 0.0010009 | 
| tanbeta = 10, m0 = 360 m12 = 600 | 0.00022474  pm 1.59659e-05 | 0.00075047 pm 0.000223158 | 0.00806833 pm 0.00040787 | 0.000615327 pm 4.25296e-05 | 0.00055608 pm 0.00019109 | 0.00440897 pm 0.000674148 | 0.0002024 pm 0.000100688 | 4.5e-05 pm 2.79128e-05 | 0.000177155 pm 0.000110604 | 0.00228559 pm 0.000753851 | 
| tanbeta = 10, m0 = 360 m12 = 620 | 0.000169389  pm 1.25972e-05 | 0.00059189 pm 0.000178249 | 0.00661819 pm 0.000335961 | 0.000555066 pm 3.79686e-05 | 0.000402387 pm 0.000145812 | 0.00336241 pm 0.00052608 | 0.000151 pm 7.76871e-05 | 3.27e-05 pm 2.11224e-05 | 0.000122303 pm 7.92531e-05 | 0.00164908 pm 0.000576076 | 
| tanbeta = 10, m0 = 360 m12 = 640 | 0.000127959  pm 9.91683e-06 | 0.000467224 pm 0.000142692 | 0.00544362 pm 0.000274863 | 0.000500941 pm 3.39185e-05 | 0.000288684 pm 0.00011059 | 0.00254173 pm 0.000407302 | 0.000113 pm 6.01419e-05 | 2.379e-05 pm 1.59726e-05 | 8.36851e-05 pm 5.59966e-05 | 0.00118401 pm 0.00043201 | 
| tanbeta = 10, m0 = 360 m12 = 660 | 9.67067e-05  pm 7.89694e-06 | 0.000370331 pm 0.000114312 | 0.00448596 pm 0.000226822 | 0.00045207 pm 3.07475e-05 | 0.000209263 pm 8.41888e-05 | 0.00193657 pm 0.000317883 | 8.456e-05 pm 4.66858e-05 | 1.732e-05 pm 1.21229e-05 | 5.77388e-05 pm 3.9891e-05 | 0.000854562 pm 0.00032608 | 
| tanbeta = 10, m0 = 360 m12 = 680 | 7.33469e-05  pm 6.25795e-06 | 0.0002944 pm 9.21674e-05 | 0.00372122 pm 0.000188726 | 0.000408015 pm 2.75844e-05 | 0.000150138 pm 6.36596e-05 | 0.00146151 pm 0.000243554 | 6.353e-05 pm 3.62381e-05 | 1.262e-05 pm 9.14835e-06 | 3.99483e-05 pm 2.84359e-05 | 0.000614424 pm 0.000245017 | 
| tanbeta = 10, m0 = 360 m12 = 700 | 5.56612e-05  pm 4.9983e-06 | 0.000233835 pm 7.41489e-05 | 0.00308445 pm 0.000155895 | 0.000368393 pm 2.48992e-05 | 0.000109111 pm 4.87791e-05 | 0.00110825 pm 0.000192549 | 4.786e-05 pm 2.8241e-05 | 9.22e-06 pm 6.95652e-06 | 2.75302e-05 pm 2.01908e-05 | 0.000442024 pm 0.000184072 | 
| tanbeta = 10, m0 = 360 m12 = 720 | 4.23857e-05  pm 4.08864e-06 | 0.000186288 pm 5.99083e-05 | 0.00256703 pm 0.000129657 | 0.000332675 pm 2.24687e-05 | 7.8347e-05 pm 3.6636e-05 | 0.000834089 pm 0.000146624 | 3.611e-05 pm 2.20818e-05 | 6.73e-06 pm 5.27931e-06 | 1.90536e-05 pm 1.43422e-05 | 0.000318337 pm 0.000138275 | 
| tanbeta = 10, m0 = 360 m12 = 740 | 3.21907e-05  pm 3.27139e-06 | 0.000148764 pm 4.84497e-05 | 0.00214055 pm 0.000108763 | 0.000300638 pm 2.02778e-05 | 5.67869e-05 pm 2.77263e-05 | 0.000631521 pm 0.000113737 | 2.726e-05 pm 1.72727e-05 | 4.92e-06 pm 4.00535e-06 | 1.31558e-05 pm 1.01405e-05 | 0.000230241 pm 0.000104481 | 
| tanbeta = 10, m0 = 360 m12 = 760 | 2.45287e-05  pm 2.60397e-06 | 0.000118848 pm 3.92898e-05 | 0.00179113 pm 9.13765e-05 | 0.000271856 pm 1.8241e-05 | 4.1142e-05 pm 2.10317e-05 | 0.000477896 pm 8.80234e-05 | 2.064e-05 pm 1.3507e-05 | 3.6e-06 pm 3.04216e-06 | 9.11092e-06 pm 7.18963e-06 | 0.000166202 pm 7.83122e-05 | 
| tanbeta = 10, m0 = 360 m12 = 780 | 1.87386e-05  pm 2.10002e-06 | 9.52157e-05 pm 3.18396e-05 | 0.0015008 pm 7.68132e-05 | 0.000245932 pm 1.64346e-05 | 2.95963e-05 pm 1.57786e-05 | 0.000357934 pm 6.76117e-05 | 1.568e-05 pm 1.05787e-05 | 2.636e-06 pm 2.30844e-06 | 6.28277e-06 pm 5.06305e-06 | 0.000118974 pm 5.81766e-05 | 
| tanbeta = 10, m0 = 360 m12 = 800 | 1.42744e-05  pm 1.69521e-06 | 7.62977e-05 pm 2.5877e-05 | 0.00125944 pm 6.45073e-05 | 0.000222639 pm 1.485e-05 | 2.13636e-05 pm 1.18381e-05 | 0.000268985 pm 5.24377e-05 | 1.1843e-05 pm 8.31373e-06 | 1.93e-06 pm 1.75141e-06 | 4.33463e-06 pm 3.56577e-06 | 8.54175e-05 pm 4.32724e-05 | 
